remove_stop_words;permitted_tags;perform_ordering;use_word_sense;similarity_measure;similarity_threshold;type_of_replacement;jaccard_threshold;accuracy;recall;precision;f_measure
True;VERB NOUN ADJ;True;True;wup;0.5;keep_unique;0.5;0.372423945044;0.0737377406466;0.962085308057;0.13697705803
True;VERB NOUN ADJ;True;True;wup;0.5;keep_unique;0.7;0.34543670265;0.0312386487468;0.988505747126;0.0605633802817
True;VERB NOUN ADJ;True;True;wup;0.5;keep_unique;0.9;0.335377821394;0.0159825644751;1.0;0.0314622810154
True;VERB NOUN ADJ;True;True;wup;0.9;keep_unique;0.1;0.624386653582;0.577551761714;0.812053115424;0.675015920187
True;VERB NOUN ADJ;True;True;wup;0.9;keep_unique;0.3;0.455593719333;0.215401380312;0.909509202454;0.348311306902
True;VERB NOUN ADJ;True;True;wup;0.9;keep_unique;0.5;0.373895976447;0.0759171812568;0.963133640553;0.140740740741
True;VERB NOUN ADJ;True;True;wup;0.9;keep_unique;0.7;0.343964671246;0.0294224482383;0.975903614458;0.0571227080395
True;VERB NOUN ADJ;True;True;wup;0.9;keep_unique;0.9;0.335623159961;0.0163458045768;1.0;0.0321658327377
True;VERB NOUN ADJ;False;True;jcn;0.1;keep_unique;0.1;0.602796859666;0.695968034871;0.710155670867;0.702990277013
True;VERB NOUN ADJ;False;True;jcn;0.1;keep_unique;0.3;0.496565260059;0.348710497639;0.78753076292;0.483383685801
True;VERB NOUN ADJ;False;True;jcn;0.1;keep_unique;0.5;0.392787046124;0.118053033055;0.873655913978;0.208
True;VERB NOUN ADJ;False;True;jcn;0.1;keep_unique;0.7;0.34273797841;0.0294224482383;0.920454545455;0.0570221752904
True;VERB NOUN ADJ;False;True;jcn;0.1;keep_unique;0.9;0.328753680079;0.00617508172902;1.0;0.012274368231
True;VERB NOUN ADJ;False;True;jcn;0.5;keep_unique;0.1;0.602796859666;0.696331274973;0.71;0.703099211443
True;VERB NOUN ADJ;False;True;jcn;0.5;keep_unique;0.3;0.496319921492;0.348347257537;0.787356321839;0.48300176278
True;VERB NOUN ADJ;False;True;jcn;0.5;keep_unique;0.5;0.393032384691;0.118416273157;0.87399463807;0.208573256558
True;VERB NOUN ADJ;False;True;jcn;0.5;keep_unique;0.7;0.342983316977;0.02978568834;0.921348314607;0.0577058409571
True;VERB NOUN ADJ;False;True;jcn;0.5;keep_unique;0.9;0.328753680079;0.00617508172902;1.0;0.012274368231
True;VERB NOUN ADJ;False;True;jcn;0.9;keep_unique;0.1;0.602796859666;0.696331274973;0.71;0.703099211443
True;VERB NOUN ADJ;False;True;jcn;0.9;keep_unique;0.3;0.496319921492;0.348347257537;0.787356321839;0.48300176278
True;VERB NOUN ADJ;False;True;jcn;0.9;keep_unique;0.5;0.393032384691;0.118416273157;0.87399463807;0.208573256558
True;VERB NOUN ADJ;False;True;jcn;0.9;keep_unique;0.7;0.342983316977;0.02978568834;0.921348314607;0.0577058409571
True;VERB NOUN ADJ;False;True;jcn;0.9;keep_unique;0.9;0.328753680079;0.00617508172902;1.0;0.012274368231
True;VERB NOUN ADJ;False;True;res;0.1;keep_unique;0.1;0.580225711482;0.544860152561;0.76608784474;0.636807471874
True;VERB NOUN ADJ;False;True;res;0.1;keep_unique;0.3;0.438420019627;0.214311660007;0.824022346369;0.340155664457
True;VERB NOUN ADJ;False;True;res;0.1;keep_unique;0.5;0.36481844946;0.0664729386124;0.905940594059;0.12385786802
True;VERB NOUN ADJ;False;True;res;0.1;keep_unique;0.7;0.338076545633;0.0217944061024;0.923076923077;0.0425833924769
True;VERB NOUN ADJ;False;True;res;0.1;keep_unique;0.9;0.328999018646;0.00653832183073;1.0;0.0129916997474
True;VERB NOUN ADJ;False;True;res;0.5;keep_unique;0.1;0.601815505397;0.687976752633;0.712565838977;0.700055442617
True;VERB NOUN ADJ;False;True;res;0.5;keep_unique;0.3;0.493621197252;0.339629495096;0.791701947502;0.475343162176
True;VERB NOUN ADJ;False;True;res;0.5;keep_unique;0.5;0.389106967615;0.110424990919;0.88115942029;0.196255648806
True;VERB NOUN ADJ;False;True;res;0.5;keep_unique;0.7;0.342983316977;0.02978568834;0.921348314607;0.0577058409571
True;VERB NOUN ADJ;False;True;res;0.5;keep_unique;0.9;0.328753680079;0.00617508172902;1.0;0.012274368231
True;VERB NOUN ADJ;False;True;res;0.9;keep_unique;0.1;0.602796859666;0.696331274973;0.71;0.703099211443
True;VERB NOUN ADJ;False;True;res;0.9;keep_unique;0.3;0.496319921492;0.347984017436;0.787828947368;0.482741244646
True;VERB NOUN ADJ;False;True;res;0.9;keep_unique;0.5;0.391805691855;0.116236832546;0.874316939891;0.205193972427
True;VERB NOUN ADJ;False;True;res;0.9;keep_unique;0.7;0.342247301276;0.0286959680349;0.918604651163;0.0556533990842
True;VERB NOUN ADJ;False;True;res;0.9;keep_unique;0.9;0.328508341511;0.00581184162732;1.0;0.0115565185988
True;VERB NOUN ADJ;False;True;lch;0.1;keep_unique;0.1;0.515947006869;0.409008354522;0.764945652174;0.533017751479
True;VERB NOUN ADJ;False;True;lch;0.1;keep_unique;0.3;0.391069676153;0.115510352343;0.871232876712;0.203976908275
True;VERB NOUN ADJ;False;True;lch;0.1;keep_unique;0.5;0.345682041217;0.0326916091537;0.957446808511;0.0632244467861
